2019-10-14 14:14:14.583 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 53ms. Found 0 repository interfaces.
2019-10-14 14:14:15.614 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration' of type [org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration$$EnhancerBySpringCGLIB$$24032de7] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-14 14:14:15.625 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$8b5565ad] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-14 14:14:15.704 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'objectPostProcessor' of type [org.springframework.security.config.annotation.configuration.AutowireBeanFactoryObjectPostProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-14 14:14:15.708 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@5fa23c' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-14 14:14:15.724 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration' of type [org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration$$EnhancerBySpringCGLIB$$48d7d099] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-14 14:14:15.779 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-14 14:14:20.114 [Socket Server Thread-01] INFO  com.osen.cloud.system.system_socket.service.SocketServer - socket server starting port: 8888
2019-10-14 14:14:20.451 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@9e02f84, org.springframework.security.web.context.SecurityContextPersistenceFilter@3af2f846, org.springframework.security.web.header.HeaderWriterFilter@58f254b1, org.springframework.security.web.authentication.logout.LogoutFilter@2c1d57bc, com.osen.cloud.system.web_security.config.JwtAuthenticationTokenFilter@5f025000, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@6e9a0bea, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@370c9018, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@482c351d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1e6060f1, org.springframework.security.web.session.SessionManagementFilter@240f350a, org.springframework.security.web.access.ExceptionTranslationFilter@21f7e537, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@6c9b44bf]
2019-10-14 14:14:21.430 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-10-14 14:14:23.222 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2019-10-14 14:14:23.357 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2019-10-14 14:14:23.593 [main] INFO  com.osen.cloud.system.system_user.UserSimpleTest - Started UserSimpleTest in 13.249 seconds (JVM running for 14.933)
2019-10-14 14:14:24.110 [main] INFO  com.zaxxer.hikari.HikariDataSource - DatebookHikariCP - Starting...
2019-10-14 14:14:24.529 [nioEventLoopGroup-5-1] INFO  c.o.c.system.socket.handler.SocketServerHandler - 设备成功连接服务器：0c9d92fffe787de5-00001ab8-00000001-537a67f835af4bdf-2db0c2f7
2019-10-14 14:14:25.230 [main] INFO  com.zaxxer.hikari.HikariDataSource - DatebookHikariCP - Start completed.
2019-10-14 14:14:25.363 [Thread-3] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
2019-10-14 14:14:25.365 [Thread-3] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2019-10-14 14:14:25.394 [Thread-3] INFO  com.zaxxer.hikari.HikariDataSource - DatebookHikariCP - Shutdown initiated...
2019-10-14 14:14:25.482 [Thread-3] INFO  com.zaxxer.hikari.HikariDataSource - DatebookHikariCP - Shutdown completed.
2019-10-14 16:53:12.648 [main] INFO  com.osen.cloud.system.system_device.DeviceTest - Starting DeviceTest on PC-20190708MDDO with PID 3928 (started by Administrator in E:\gitworkspace\lampblack-admin\lampblack-system)
2019-10-14 16:53:12.652 [main] INFO  com.osen.cloud.system.system_device.DeviceTest - No active profile set, falling back to default profiles: default
2019-10-14 16:53:15.744 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
